#Customer_id, First_name,Last_name,Relationship_no.,Card_type,Max_credit_limit,Total_Spent,Cash_withdrawn,Cleared_amount,Last_date
CT28383,Miyako,Burns,R_7488,Issuers,500,490,38,101,30-01-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,224,69,224,28-02-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,374,38,374,31-03-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,224,69,0,30-04-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,409,97,300,31-05-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,297,93,297,30-06-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,488,44,431,31-07-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,465,100,465,31-08-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,157,97,132,30-09-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,236,45,100,31-10-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,297,93,297,30-11-2018
CT28383,Miyako,Burns,R_7488,Issuers,500,200,93,200,31-12-2018
CT74474,Nanaho,Brennan,R_2043,Issuers,900,173,34,173,31-01-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,349,92,320,28-02-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,190,23,190,31-03-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,207,59,207,30-04-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,58,35,58,31-05-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,170,35,80,30-06-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,476,82,449,31-07-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,112,76,28,31-08-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,9,50,9,30-09-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,130,90,130,31-10-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,171,38,49,30-11-2019
CT74474,Nanaho,Brennan,R_2043,Issuers,900,302,32,302,31-12-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,164,99,164,31-01-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,463,92,463,28-02-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,181,13,181,31-03-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,448,65,212,30-04-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,15,34,15,31-05-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,366,58,366,30-06-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,118,33,115,31-07-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,89,14,89,31-08-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,339,36,339,30-09-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,316,96,282,31-10-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,141,73,141,30-11-2019
CT66322,Chris,Bruce,R_3158,AccountNow Prepaid Cards,900,109,23,96,31-12-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,478,67,478,31-01-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,495,96,218,28-02-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,493,80,493,31-03-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,247,60,175,30-04-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,123,17,83,31-05-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,61,93,61,30-06-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,331,55,331,31-07-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,474,4,474,31-08-2019
CT65528,Bonnie,Barlow,R_7046,MasterCard,1000,487,88,487,30-09-2019
