#customer_id, first_name,last_name,customer_category,loan_id, loan_category, due_date, due_amount, payment_date
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,26-01-2018, 2000, 30-01-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,22-02-2018, 2000, 28-02-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,22-03-2018, 2000, 28-03-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,29-04-2018, 2000, 29-04-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,30-05-2018, 2000, 30-05-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,26-06-2018, 2000, 30-06-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,24-07-2018, 2000, 24-07-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,22-08-2018, 2000, 22-08-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,27-09-2018, 2000, 30-09-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,26-10-2018, 2000, 26-10-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,23-11-2018, 2000, 29-11-2018
CT88330,Humberto,Banks,Serviceman,LN_1559,Medical Loan,23-12-2018, 2000, 29-12-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,25-01-2018, 50000, 25-01-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,28-05-2018, 50000, 28-05-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,28-06-2018, 50000, 28-06-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,28-07-2018, 50000, 28-07-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,28-08-2018, 50000, 28-08-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,28-09-2018, 50000, 28-09-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,28-10-2018, 50000, 28-10-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,28-11-2018, 50000, 28-11-2018
CT68554,Ronald,Chiki,Serviceman,LN_8460,Personal Loan,27-12-2018, 50000, 30-12-2018
CT74421,Fabian,Browning,Businessman,LN_6224,Education Loan,26-02-2018,1000,26-02-2018
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,25-01-2019,9000,26-01-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,23-02-2019,9000,25-02-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,22-03-2019,9000,23-03-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,22-04-2019,9000,24-04-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,23-05-2019,9000,28-05-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,22-06-2019,9000,26-06-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,24-07-2019,9000,28-07-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,25-08-2019,9000,25-08-2019
